Company_Name,Product_Name,Product_Category,Technology_Type,Market_Segment,Revenue(Millions),R&D_Expenditure(Millions),Market_Share(Percentage),Number_of_Employees,Industry_Focus,Country,City,Year_Founded,Partnership_Status,Customer_Satisfaction_Index
"InnovateTech          ","Innovate Suite     ","Software             ","SaaS              ","B2B              ",120,20,25,1200,"IT                ","USA          ","San Francisco",2010,"Active              ",4.5
"EcoSolutions         ","GreenGen            ","Environmental        ","Renewable Energy ","Eco-friendly     ",65,15,12,500,"Environmental     ","Canada       ","Vancouver   ",2008,"Active              ",4.2
"CyberGuard           ","SecureNet           ","Cybersecurity        ","Security          ","B2G              ",80,18,18,800,"Government        ","UK           ","London      ",2012,"Active              ",4.4
"MedTech Solutions    ","HealthConnect       ","Health Tech          ","Telemedicine      ","Healthcare       ",45,10,15,600,"Medical           ","Germany      ","Berlin      ",2015,"Active              ",4.6
"DataInsights         ","DataVision          ","Big Data             ","Analytics         ","Finance          ",55,12,20,700,"Data Analytics    ","Australia    ","Sydney      ",2011,"Inactive           ",4.1
"SmartMobility        ","ConnectDrive        ","IoT                  ","Smart Cities      ","Transportation   ",30,8,8,400,"Smart Cities      ","Singapore    ","Singapore   ",2013,"Active              ",4.3
"EduTech Innovations  ","LearnEase           ","EdTech               ","E-learning        ","Education        ",25,5,10,300,"Education         ","India        ","Mumbai      ",2014,"Active              ",4.2
"TechGenius           ","QuantumCompute      ","Hardware            ","Quantum Computing ","Research         ",90,25,30,1500,"Technology        ","USA          ","New York    ",2009,"Active              ",4.7
"FinAnalytics         ","FinTechPro           ","FinTech              ","Blockchain        ","Finance          ",70,15,22,900,"Financial         ","Canada       ","Toronto     ",2010,"Inactive           ",4
"RoboSolutions        ","RoboAssist          ","Robotics             ","AI Robotics       ","Manufacturing    ",40,10,14,550,"Robotics          ","Japan        ","Tokyo       ",2012,"Active              ",4.3
"EnergyHarvest        ","SolarEco            ","Clean Energy         ","Solar Technology  ","Energy           ",50,12,16,650,"Renewable Energy  ","Brazil       ","Rio de Janeiro",2013,"Active              ",4.5
"AeroTech             ","SkyVision           ","Aerospace            ","UAVs              ","Defense          ",75,20,28,1200,"Aerospace         ","France       ","Paris       ",2011,"Active              ",4.4
"AutoInnovate         ","DriveAssist         ","Automotive           ","Autonomous Vehicles ","Transportation ",85,22,26,1000,"Automotive        ","Germany      ","Stuttgart   ",2014,"Active              ",4.6
"NanoHealth           ","NanoMed             ","Nanotechnology        ","Medical Nanotech  ","Healthcare       ",35,8,10,400,"Nanotechnology    ","USA          ","Boston      ",2013,"Active              ",4.2
"AgriSolutions        ","AgriTechPro         ","Agriculture          ","Precision Farming ","Agribusiness      ",28,6,8,350,"Agriculture       ","Australia    ","Melbourne   ",2015,"Inactive           ",4
"SpaceTech            ","StarLink            ","Space Technology     ","Satellite Comm.   ","Aerospace        ",100,30,35,1800,"Space Technology  ","USA          ","Houston     ",2010,"Active              ",4.8
"CleanTech Innovations","CleanEnergy         ","Environmental        ","Clean Technology  ","Eco-friendly     ",48,12,14,600,"Clean Tech        ","Canada       ","Montreal    ",2012,"Active              ",4.4
